将消耗	will cost
积分	point
积分 	points
胜率	Win rate
胜	W
负	L
确认	Confirn
解锁:	Unlock:
建造费用	Cost
积分余额：	Point：
胜率	Win rate
胜	W
负	L
解锁:	Unlock:
建造费用	Cost
对地	Ground
对空	Air
<color=green>是</color>	<color=green>Yes</color>
<color=red>否</color>	<color=red>No</color>
攻击力	Damage
建造时间	Build time
生命值	Life
防御	Armor
当前积分余额不足！	Not enough point.
解锁	Unlock
取消	Cancel
是	Yes
否	No
该区域不可建造	Can not build it in this position.
部队尚未就绪	Not ready.
没有多余的矿机位置	Enough miners.
无法建造更多仓库	Enough depots.
积分+1	Point +1
点击观看广告，完整观看可获1积分	Watch whole ad and get 1 point
录像结束	Replay ends
该区域不可建造	Cannot build it in this position.
部队尚未就绪	Not ready.
矿机已满	Enough miner.
生物攻击 +15%	Biological damage +15%
生物防御 +1	Biological armor +1
机械攻击 +15%	Mechanical damage +15%
机械防御 +1	Mechanical armor +1
空中攻击 +15%	Air damage +15%
空中防御 +1	Air armor +1
+200 晶矿	+200 Mine
+100 瓦斯	+100 Gas
+100 晶矿  +50 瓦斯	+100 Mine  +50 Gas
+150 晶矿  +75 瓦斯	+150 Mine  +75 Gas
+200 晶矿  +100 瓦斯	+200 Mine  +100 Gas
+150 瓦斯	+150 Gas
+300 晶矿	+300 Mine
+200 瓦斯	+200 Gas
+400 晶矿	+400 Mine

每次比赛取得胜利均有几率解锁一个随机头像	Probability unlock after victory.

机枪兵	Soldier
喷火兵	Flamer
狙击手	Sniper
磁暴蛛	Mine\nSpider
机器人	Robot
坦克	Tank
雷神	Thor
攻城车	Siege\nVehicle
战斗机	Fighter
巨舰	Warship
空降兵	Carrier
基地	Base
指挥中心	Alert\nCenter
军事要塞	Fortress
矿机	Miner
仓库	Depot
瓦斯厂	Gas\nFactory
兵营	Barrack
守卫	Guard
生物科技	Biotech
磁暴科技	Mine\nTech
狙击科技	Sniper\nTech
工厂	Factory
车辆科技	Vehicle\nTech
雷神科技	Thor\nTech
攻城科技	Siege\nTech
机场	Airport
飞行科技	Air\nTech
巨舰科技	Warship\nTech
雷达	Radar


机枪兵 	Soldier 
喷火兵 	Flamer 
狙击手 	Sniper 
磁暴蛛 	Mine Spider 
机器人 	Robot 
坦克 	Tank 
雷神 	Thor 
攻城车 	Siege Vehicle 
战斗机 	Fighter 
巨舰 	Warship 
空降兵 	Carrier 
基地 	Base 
指挥中心 	Alert Center 
军事要塞 	Fortress 
矿机 	Miner 
仓库 	Depot 
瓦斯厂 	Gas Factory 
兵营 	Barrack 
守卫 	Guard 
生物科技 	Biotech 
磁暴科技 	Mine tech 
狙击科技 	Sniper tech 
工厂 	Factory 
车辆科技 	Vehicle Tech 
雷神科技 	Thor tech 
攻城科技 	Siege tech 
机场 	Airport 
飞行科技 	Air tech 
巨舰科技 	Warship tech 
雷达 	Radar 
